Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
Tổng tín chỉ học kỳ 2,21,19,"Đồ án, thực tập",
IT004,Cơ sở dữ liệu,4,"Đồ án, thực tập",
Lập trình hệ thống,3,2,"Đồ án, thực tập",
Cấu trúc dữ liệu và giải thuật,4,3,"Đồ án, thực tập",
Kỹ năng nghề nghiệp,2,2,"Đồ án, thực tập",
Xác suất thống kê,3,3,"Đồ án, thực tập",
Anh văn 3,4,4,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 3,20,17,"Đồ án, thực tập",
IT007,Hệ điều hành,4,"Đồ án, thực tập",
Lập trình mạng căn bản,3,2,"Đồ án, thực tập",
Mật mã học,3,2,"Đồ án, thực tập",
Lập trình ứng dụng Web,3,2,"Đồ án, thực tập",
Lịch sử Đảng Cộng sản Việt Nam,2,2,"Đồ án, thực tập",
Triết học Mác – Lênin,3,3,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 4,18,14,"Đồ án, thực tập",
SS008,Kinh tế chính trị Mác- Lênin,2,"Đồ án, thực tập",
Chủ nghĩa xã hội khoa học,2,2,"Đồ án, thực tập",
Quản trị mạng và hệ thống,4,3,"Đồ án, thực tập",
An toàn mạng,4,3,"Đồ án, thực tập",
Lập trình an toàn và khai thác lỗ hổng phần mềm,4,3,"Đồ án, thực tập",
Môn chuyên ngành 1,3,2,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 5,19,15,"Đồ án, thực tập",
NT230,Cơ chế hoạt động của mã độc,3,"Đồ án, thực tập",
Tư tưởng Hồ Chí Minh,2,2,"Đồ án, thực tập",
Đồ án chuyên ngành,2,0,"Đồ án, thực tập",
Môn chuyên ngành 2,3,2,"Đồ án, thực tập",
Môn chuyên ngành 3,3,2,"Đồ án, thực tập",
Môn tự chọn 1,3,2,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 6,16,10,"Đồ án, thực tập",
NT215,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
Môn tự chọn 2,3,2,"Đồ án, thực tập",
Khóa luận tốt nghiệp,10,10,"Đồ án, thực tập",
Đồ án tốt nghiệp tại doanh nghiệp,10,10,"Đồ án, thực tập",
Đồ án tốt nghiệp,6,6,"Đồ án, thực tập",
Môn chuyên đề tốt nghiệp tự chọn,4,,"Đồ án, thực tập",
Tổng tín chỉ học kỳ 7,15,14,"Đồ án, thực tập",
