Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
CE212,Điều khiển tự động,4,Môn chuyên ngành,
CE233,Kỹ thuật Robot,4,Môn chuyên ngành,
CE347,Điều khiển thông minh cho robot,4,Môn chuyên ngành,
CE440,Hệ thống định vị với ứng dụng AI,4,Môn chuyên ngành,
CE320,Logic mờ cho ứng dụng hệ thống nhúng (6),Logic mờ cho ứng dụng hệ thống nhúng (6),Môn chuyên ngành,
CE406,Tương tác người – máy,4,Môn chuyên ngành,
CE441,Chuyên đề thiết kế Robotics và AI 1,Chuyên đề thiết kế Robotics và AI 1,Môn chuyên ngành,
CE442,Chuyên đề thiết kế Robotics và AI 2,Chuyên đề thiết kế Robotics và AI 2,Môn chuyên ngành,
CE005,Giới thiệu ngành KTMT,1,Môn chuyên ngành,
ME001,Giáo dục quốc phòng,,Môn chuyên ngành,
ENG02,Anh Văn 2,4,Môn chuyên ngành,
CE119,Thực hành Kiến trúc máy tính,1,Môn chuyên ngành,
CE103,Vi xử lý – Vi điều khiển,4,Môn chuyên ngành,
CE122,Phân tích mạch kỹ thuật,4,Môn chuyên ngành,
CE***,Tự chọn chuyên ngành 1,4,Môn chuyên ngành,
XX***,Tự chọn tự do 1,3,Môn chuyên ngành,
CE502,Thực tập doanh nghiệp,2,Môn chuyên ngành,
CE***,Tự chọn chuyên ngành 2,4,Môn chuyên ngành,
XX***,Tự chọn tự do 2,3,Môn chuyên ngành,
CE206,Đồ án 2,2,Môn chuyên ngành,
CE505,Khóa luận tốt nghiệp (có thể thay thế bằng môn chuyên đề tốt nghiệp),10,Môn chuyên ngành,
