Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
,Giáo dục thể chất 1,,"Đồ án, thực tập",
,Đồ án chuyên ngành,2,"Đồ án, thực tập",
,Thiết kế mạng,3,"Đồ án, thực tập",
,Chủ nghĩa xã hội khoa học,2,"Đồ án, thực tập",
,Giáo dục thể chất 2,,"Đồ án, thực tập",
,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
,Pháp luật đại cương,2,"Đồ án, thực tập",
,Kinh tế chính trị Mác- Lênin,2,"Đồ án, thực tập",
,Lịch sử Đảng Cộng sản Việt Nam,2,"Đồ án, thực tập",
,Lựa chọn 1,Lựa chọn 1,"Đồ án, thực tập",
,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
,Lựa chọn 2,Lựa chọn 2,"Đồ án, thực tập",
,Môn chuyên đề tốt nghiệp 1,4,"Đồ án, thực tập",
,Môn chuyên đề tốt nghiệp 2,3,"Đồ án, thực tập",
,Môn chuyên đề tốt nghiệp 3,3,"Đồ án, thực tập",
,Tổng cộng,130,"Đồ án, thực tập",
