Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
DS317,Khai phá dữ liệu trong doanh nghiệp,4,Môn chuyên ngành,
DS316,Xây dựng ứng dụng thông minh,4,Môn chuyên ngành,
DS318,Đạo đức trong Trí tuệ nhân tạo và Khoa học dữ liệu,3,Môn chuyên ngành,
DS204,Đồ án Khoa học dữ liệu và ứng dụng,2,Môn chuyên ngành,
DS201,Deep Learning trong Khoa học dữ liệu,4,Môn chuyên ngành,
DS310,Xử lý ngôn ngữ tự nhiên cho Khoa học dữ liệu,4,Môn chuyên ngành,
DS106,Tối ưu hoá và ứng dụng,3,Môn chuyên ngành,
DS312,Xử lý ảnh y khoa,3,Môn chuyên ngành,
DS313,Xử lý thông tin giọng nói,4,Môn chuyên ngành,
DS314,Rút trích và truy vấn thông tin,4,Môn chuyên ngành,
DS316,Xây dựng ứng dụng web và di động cho Khoa học dữ liệu,4,Môn chuyên ngành,
IE108,Phân tích thiết kế phần mềm,4,Môn chuyên ngành,
IE104,Internet và công nghệ Web,4,Môn chuyên ngành,
DS311,Kỹ năng nghiên cứu và viết bài báo khoa học,3,Môn chuyên ngành,
IE310,Tư duy thiết kế,3,Môn chuyên ngành,
IE103,Quản lý thông tin,4,Môn chuyên ngành,
DS309,Thực tập doanh nghiệp,2,Môn chuyên ngành,
BUS1125,Khởi nghiệp kinh doanh,3,"Đồ án, thực tập",
TLH025,Tâm lý học nhân cách,3,"Đồ án, thực tập",
CS231,Nhập môn Thị giác máy tính,4,"Đồ án, thực tập",
CS331,Thị giác máy tính nâng cao,4,"Đồ án, thực tập",
CS412,Web ngữ nghĩa,4,"Đồ án, thực tập",
IS353,Mạng xã hội,3,"Đồ án, thực tập",
CS323,Các hệ thống hỏi-đáp,4,"Đồ án, thực tập",
CS321,Ngôn ngữ học ngữ liệu,4,"Đồ án, thực tập",
CS410,Mạng neural và thuật giải di truyền,4,"Đồ án, thực tập",
CS112,Phân tích và thiết kế thuật toán,4,"Đồ án, thực tập",
CS116,Lập trình Python cho Máy học,4,"Đồ án, thực tập",
CS115,Toán cho Khoa học máy tính,4,"Đồ án, thực tập",
CS406,Xử lý ảnh và ứng dụng,4,"Đồ án, thực tập",
DS207,Đồ án,2,"Đồ án, thực tập",
DS505,Khoá luận tốt nghiệp,10,"Đồ án, thực tập",
DS300,Hệ khuyến nghị,4,"Đồ án, thực tập",
DS301,Các giải thuật khai phá dữ liệu lớn,4,"Đồ án, thực tập",
DS306,Phân tích dữ liệu lớn trong tài chính,3,"Đồ án, thực tập",
DS305,Phân tích dữ liệu chuỗi thời gian và ứng dụng,3,"Đồ án, thực tập",
DS302,Phân tích thống kê đa biến,3,"Đồ án, thực tập",
DS303,Thống kê Bayes,3,"Đồ án, thực tập",
DS308,Mô hình đồ thị xác suất,4,"Đồ án, thực tập",
IE403,Khai thác dữ liệu truyền thông xã hội,3,"Đồ án, thực tập",
IT009,Giới thiệu ngành,DS005,"Đồ án, thực tập",
IS211,Cơ sở dữ liệu phân tán,IE103,"Đồ án, thực tập",
IE207,Đồ án,DS207,"Đồ án, thực tập",
PE012,Giáo dục thể chất,PE231,"Đồ án, thực tập",
ENG01,Anh văn 1 (*),4,Giai đoạn 1,
ME001,Giáo dục Quốc phòng,Tính riêng,Giai đoạn 1,
MA005,Xác suất thống kê,3,Giai đoạn 1,
ENG02,Anh văn 2 (*),4,Giai đoạn 1,
ENG03,Anh văn 3 (*),4,Giai đoạn 1,
SS007,Triết học Mác – Lênin,3,Giai đoạn 2,
SS008,Kinh tế chính trị Mác – Lênin,2,Giai đoạn 2,
,Các môn học chuyên ngành tự chọn (**),≥4,Giai đoạn 2,
DS207,"Đồ án, hoặc các môn học thay thế (***)",2,Giai đoạn 2,
DS505,Khóa luận tốt nghiệp (***),10,Giai đoạn 2,
,Các môn học chuyên đề tốt nghiệp (***),≥10,Giai đoạn 2,
